GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejercicio1,minions.ejercicio1,Clima,0,33,0,0,0,12,0,6,0,6
ejercicio1,minions.ejercicio1,ejercicio1,0,289,9,69,0,58,9,41,0,11
ejercicio1,minions.ejercicio1,Persona,0,33,0,0,0,12,0,6,0,6
ejercicio1,minions.ejercicio1,Espacio,0,21,0,0,0,8,0,4,0,4
